dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
imdb,tmdb,D5,qwen2.5-ft-p2,770.27,85.36,90.48,87.85,1.00,vector_based_examples_dict_2,2083,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-ft-p2,770.01,86.10,87.63,86.86,1.00,vector_based_examples_dict_2,2000,distilroberta
imdb,tmdb,D5,qwen2.5-tf-p2,767.11,85.05,90.59,87.73,1.00,vector_based_examples_dict_2,2093,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-tf-p2,767.10,85.70,87.84,86.76,1.00,vector_based_examples_dict_2,2014,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2,885.52,74.28,76.28,75.27,1.00,vector_based_examples_dict_2,2018,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-ft-p2,885.66,82.70,78.07,80.31,1.00,vector_based_examples_dict_2,1855,distilroberta
imdb,tmdb,D5,llama3.1-tf-p2,879.36,64.44,78.93,70.95,1.00,vector_based_examples_dict_2,2407,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-tf-p2,879.34,80.03,86.87,83.31,1.00,vector_based_examples_dict_2,2133,distilroberta
imdb,tmdb,D5,orca2-ft-p2,426.76,73.30,85.24,78.82,1.00,vector_based_examples_dict_2,2285,MetaBlocking-Method
imdb,tmdb,D5,orca2-ft-p2,426.75,79.23,86.41,82.67,1.00,vector_based_examples_dict_2,2143,distilroberta
imdb,tmdb,D5,orca2-tf-p2,421.10,73.69,83.97,78.50,1.00,vector_based_examples_dict_2,2239,MetaBlocking-Method
imdb,tmdb,D5,orca2-tf-p2,420.90,79.21,84.73,81.88,1.00,vector_based_examples_dict_2,2102,distilroberta
imdb,tmdb,D5,openhermes-ft-p2,431.46,84.49,80.41,82.40,1.00,vector_based_examples_dict_2,1870,MetaBlocking-Method
imdb,tmdb,D5,openhermes-ft-p2,431.45,85.19,78.47,81.70,1.00,vector_based_examples_dict_2,1810,distilroberta
imdb,tmdb,D5,openhermes-tf-p2,423.22,84.36,78.52,81.34,1.00,vector_based_examples_dict_2,1829,MetaBlocking-Method
imdb,tmdb,D5,openhermes-tf-p2,423.22,84.96,76.74,80.64,1.00,vector_based_examples_dict_2,1775,distilroberta
imdb,tmdb,D5,zephyr-ft-p2,667.87,85.82,74.20,79.59,0.51,vector_based_examples_dict_2,1699,MetaBlocking-Method
imdb,tmdb,D5,zephyr-ft-p2,667.66,86.06,72.26,78.56,0.51,vector_based_examples_dict_2,1650,distilroberta
imdb,tmdb,D5,zephyr-tf-p2,544.01,85.61,86.31,85.96,0.93,vector_based_examples_dict_2,1981,MetaBlocking-Method
imdb,tmdb,D5,zephyr-tf-p2,544.01,86.24,84.22,85.22,0.93,vector_based_examples_dict_2,1919,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2,1808.00,84.71,90.23,87.38,1.00,join_examples_dict_1,2093,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-ft-p2,1808.00,85.57,87.53,86.54,1.00,join_examples_dict_1,2010,distilroberta
imdb,tmdb,D5,gemma3n-tf-p2,1774.05,85.61,86.92,86.26,1.00,join_examples_dict_1,1995,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-tf-p2,1774.05,86.11,84.58,85.34,1.00,join_examples_dict_1,1930,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2,778.17,85.65,90.84,88.17,1.00,join_examples_dict_1,2084,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-ft-p2,778.17,86.05,87.89,86.96,1.00,join_examples_dict_1,2007,distilroberta
imdb,tmdb,D5,qwen2.5-tf-p2,768.15,85.78,90.89,88.26,1.00,join_examples_dict_1,2082,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-tf-p2,768.31,86.03,87.79,86.90,1.00,join_examples_dict_1,2005,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2,891.74,63.42,69.01,66.10,1.00,join_examples_dict_1,2138,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-ft-p2,891.73,78.03,74.45,76.20,1.00,join_examples_dict_1,1875,distilroberta
imdb,tmdb,D5,llama3.1-tf-p2,885.93,62.52,74.10,67.82,1.00,join_examples_dict_1,2329,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-tf-p2,885.92,77.32,80.66,78.95,1.00,join_examples_dict_1,2050,distilroberta
imdb,tmdb,D5,orca2-ft-p2,423.15,75.50,82.04,78.63,1.00,join_examples_dict_1,2135,MetaBlocking-Method
imdb,tmdb,D5,orca2-ft-p2,423.29,80.00,82.24,81.10,1.00,join_examples_dict_1,2020,distilroberta
imdb,tmdb,D5,orca2-tf-p2,421.52,71.93,84.12,77.55,1.00,join_examples_dict_1,2298,MetaBlocking-Method
imdb,tmdb,D5,orca2-tf-p2,421.51,77.91,85.45,81.50,1.00,join_examples_dict_1,2155,distilroberta
imdb,tmdb,D5,openhermes-ft-p2,427.49,83.70,66.36,74.03,1.00,join_examples_dict_1,1558,MetaBlocking-Method
imdb,tmdb,D5,openhermes-ft-p2,427.49,84.48,64.83,73.37,1.00,join_examples_dict_1,1508,distilroberta
imdb,tmdb,D5,openhermes-tf-p2,425.09,83.62,77.96,80.70,1.00,join_examples_dict_1,1832,MetaBlocking-Method
imdb,tmdb,D5,openhermes-tf-p2,424.93,85.30,76.18,80.48,1.00,join_examples_dict_1,1755,distilroberta
imdb,tmdb,D5,zephyr-ft-p2,620.77,86.32,71.30,78.09,0.59,join_examples_dict_1,1623,MetaBlocking-Method
imdb,tmdb,D5,zephyr-ft-p2,620.76,86.25,69.26,76.83,0.59,join_examples_dict_1,1578,distilroberta
imdb,tmdb,D5,zephyr-tf-p2,579.20,84.11,61.42,71.00,0.73,join_examples_dict_1,1435,MetaBlocking-Method
imdb,tmdb,D5,zephyr-tf-p2,579.20,84.28,60.56,70.48,0.73,join_examples_dict_1,1412,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2,1810.98,84.94,90.38,87.57,1.00,join_examples_dict_2,2091,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-ft-p2,1811.19,85.53,87.53,86.52,1.00,join_examples_dict_2,2011,distilroberta
imdb,tmdb,D5,gemma3n-tf-p2,1774.31,85.13,90.59,87.77,1.00,join_examples_dict_2,2091,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-tf-p2,1774.22,85.48,87.48,86.47,1.00,join_examples_dict_2,2011,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2,769.96,85.88,90.99,88.36,1.00,join_examples_dict_2,2082,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-ft-p2,769.96,86.18,87.94,87.05,1.00,join_examples_dict_2,2005,distilroberta
imdb,tmdb,D5,qwen2.5-tf-p2,768.00,85.16,90.84,87.91,1.00,join_examples_dict_2,2096,MetaBlocking-Method
imdb,tmdb,D5,qwen2.5-tf-p2,768.23,85.67,87.94,86.79,1.00,join_examples_dict_2,2017,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2,889.09,76.63,76.08,76.35,1.00,join_examples_dict_2,1951,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-ft-p2,889.09,84.11,77.30,80.56,1.00,join_examples_dict_2,1806,distilroberta
imdb,tmdb,D5,llama3.1-tf-p2,885.46,68.89,79.90,73.99,1.00,join_examples_dict_2,2279,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-tf-p2,885.44,82.17,85.60,83.85,1.00,join_examples_dict_2,2047,distilroberta
imdb,tmdb,D5,orca2-ft-p2,424.54,74.03,84.27,78.82,1.00,join_examples_dict_2,2237,MetaBlocking-Method
imdb,tmdb,D5,orca2-ft-p2,424.21,79.61,85.24,82.33,1.00,join_examples_dict_2,2104,distilroberta
imdb,tmdb,D5,orca2-tf-p2,420.80,71.87,83.72,77.34,1.00,join_examples_dict_2,2289,MetaBlocking-Method
imdb,tmdb,D5,orca2-tf-p2,420.79,78.36,84.94,81.51,1.00,join_examples_dict_2,2130,distilroberta
imdb,tmdb,D5,openhermes-ft-p2,433.45,83.86,77.76,80.70,1.00,join_examples_dict_2,1822,MetaBlocking-Method
imdb,tmdb,D5,openhermes-ft-p2,433.45,84.78,75.98,80.14,1.00,join_examples_dict_2,1761,distilroberta
imdb,tmdb,D5,openhermes-tf-p2,425.14,83.97,78.63,81.21,1.00,join_examples_dict_2,1840,MetaBlocking-Method
imdb,tmdb,D5,openhermes-tf-p2,425.14,85.21,76.84,80.81,1.00,join_examples_dict_2,1772,distilroberta
imdb,tmdb,D5,zephyr-ft-p2,675.97,85.53,67.68,75.57,0.55,join_examples_dict_2,1555,MetaBlocking-Method
imdb,tmdb,D5,zephyr-ft-p2,675.97,85.53,66.16,74.61,0.55,join_examples_dict_2,1520,distilroberta
imdb,tmdb,D5,zephyr-tf-p2,539.13,86.42,85.50,85.96,0.89,join_examples_dict_2,1944,MetaBlocking-Method
imdb,tmdb,D5,zephyr-tf-p2,539.13,86.76,83.05,84.87,0.89,join_examples_dict_2,1881,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,3498.17,84.97,90.33,87.57,1.00,vector_based_examples_dict_1,2089,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,3498.01,85.58,87.58,86.57,1.00,vector_based_examples_dict_1,2011,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,3498.01,86.07,90.23,88.10,1.00,vector_based_examples_dict_1,2060,MetaBlocking-Method
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,3498.01,86.30,87.18,86.73,1.00,vector_based_examples_dict_1,1985,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,3554.70,82.84,89.67,86.12,1.00,vector_based_examples_dict_2,2127,MetaBlocking-Method
