dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
imdb,tmdb,D5,qwen2.5-ft-p2,943.45,85.56,91.09,88.24,1.00,vector_based_examples_dict_2,2092,distilroberta
imdb,tmdb,D5,qwen2.5-tf-p2,941.21,85.98,93.64,89.65,1.00,vector_based_examples_dict_2,2140,TopKJoin
imdb,tmdb,D5,qwen2.5-tf-p2,941.21,84.87,91.35,87.99,1.00,vector_based_examples_dict_2,2115,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2,1096.72,82.00,83.46,82.72,1.00,vector_based_examples_dict_2,2000,TopKJoin
imdb,tmdb,D5,llama3.1-ft-p2,1096.69,80.06,81.93,80.99,1.00,vector_based_examples_dict_2,2011,distilroberta
imdb,tmdb,D5,llama3.1-tf-p2,1088.31,78.50,92.93,85.11,1.00,vector_based_examples_dict_2,2326,TopKJoin
imdb,tmdb,D5,llama3.1-tf-p2,1088.32,76.15,90.69,82.79,1.00,vector_based_examples_dict_2,2340,distilroberta
imdb,tmdb,D5,orca2-ft-p2,555.24,79.41,92.26,85.36,1.00,vector_based_examples_dict_2,2283,TopKJoin
imdb,tmdb,D5,orca2-ft-p2,555.25,74.74,90.03,81.67,1.00,vector_based_examples_dict_2,2367,distilroberta
imdb,tmdb,D5,orca2-tf-p2,548.80,80.02,90.48,84.93,1.00,vector_based_examples_dict_2,2222,TopKJoin
imdb,tmdb,D5,orca2-tf-p2,548.98,74.99,88.50,81.19,1.00,vector_based_examples_dict_2,2319,distilroberta
imdb,tmdb,D5,openhermes-ft-p2,553.54,84.98,82.09,83.51,1.00,vector_based_examples_dict_2,1898,TopKJoin
imdb,tmdb,D5,openhermes-ft-p2,553.54,83.89,80.81,82.32,1.00,vector_based_examples_dict_2,1893,distilroberta
imdb,tmdb,D5,openhermes-tf-p2,551.06,85.50,81.63,83.52,1.00,vector_based_examples_dict_2,1876,TopKJoin
imdb,tmdb,D5,openhermes-tf-p2,551.07,84.34,80.56,82.40,1.00,vector_based_examples_dict_2,1877,distilroberta
imdb,tmdb,D5,zephyr-ft-p2,821.78,86.74,76.59,81.35,0.55,vector_based_examples_dict_2,1735,TopKJoin
imdb,tmdb,D5,zephyr-ft-p2,821.94,85.96,75.42,80.35,0.55,vector_based_examples_dict_2,1724,distilroberta
imdb,tmdb,D5,zephyr-tf-p2,689.44,86.76,88.35,87.54,0.94,vector_based_examples_dict_2,2001,TopKJoin
imdb,tmdb,D5,zephyr-tf-p2,689.45,85.87,86.62,86.24,0.94,vector_based_examples_dict_2,1982,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2,2169.47,86.34,93.59,89.82,1.00,join_examples_dict_1,2130,TopKJoin
imdb,tmdb,D5,gemma3n-ft-p2,2169.47,85.33,91.15,88.14,1.00,join_examples_dict_1,2099,distilroberta
imdb,tmdb,D5,gemma3n-tf-p2,2151.06,86.95,89.21,88.07,1.00,join_examples_dict_1,2016,TopKJoin
imdb,tmdb,D5,gemma3n-tf-p2,2151.22,86.12,87.48,86.80,1.00,join_examples_dict_1,1996,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2,952.62,86.37,93.54,89.81,1.00,join_examples_dict_1,2128,TopKJoin
imdb,tmdb,D5,qwen2.5-ft-p2,952.61,85.25,91.15,88.10,1.00,join_examples_dict_1,2101,distilroberta
imdb,tmdb,D5,qwen2.5-tf-p2,948.16,86.50,93.59,89.90,1.00,join_examples_dict_1,2126,TopKJoin
imdb,tmdb,D5,qwen2.5-tf-p2,948.16,85.46,91.20,88.23,1.00,join_examples_dict_1,2097,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2,1092.24,76.72,78.47,77.58,1.00,join_examples_dict_1,2010,TopKJoin
imdb,tmdb,D5,llama3.1-ft-p2,1092.09,72.37,76.64,74.44,1.00,join_examples_dict_1,2081,distilroberta
imdb,tmdb,D5,llama3.1-tf-p2,1092.54,76.43,86.62,81.20,1.00,join_examples_dict_1,2227,TopKJoin
imdb,tmdb,D5,llama3.1-tf-p2,1092.55,72.85,85.09,78.50,1.00,join_examples_dict_1,2295,distilroberta
imdb,tmdb,D5,orca2-ft-p2,549.80,80.14,88.30,84.02,1.00,join_examples_dict_1,2165,TopKJoin
imdb,tmdb,D5,orca2-ft-p2,549.80,75.89,86.36,80.79,1.00,join_examples_dict_1,2236,distilroberta
imdb,tmdb,D5,orca2-tf-p2,548.47,77.86,90.53,83.72,1.00,join_examples_dict_1,2285,TopKJoin
imdb,tmdb,D5,orca2-tf-p2,548.48,72.36,88.60,79.66,1.00,join_examples_dict_1,2406,distilroberta
imdb,tmdb,D5,openhermes-ft-p2,560.82,83.33,67.68,74.70,1.00,join_examples_dict_1,1596,TopKJoin
imdb,tmdb,D5,openhermes-ft-p2,560.82,82.43,67.58,74.27,1.00,join_examples_dict_1,1611,distilroberta
imdb,tmdb,D5,openhermes-tf-p2,552.26,84.54,80.71,82.58,1.00,join_examples_dict_1,1876,TopKJoin
imdb,tmdb,D5,openhermes-tf-p2,552.10,83.66,79.49,81.52,1.00,join_examples_dict_1,1867,distilroberta
imdb,tmdb,D5,zephyr-ft-p2,772.68,87.15,71.81,78.74,0.64,join_examples_dict_1,1619,TopKJoin
imdb,tmdb,D5,zephyr-ft-p2,772.67,86.62,71.15,78.12,0.64,join_examples_dict_1,1614,distilroberta
imdb,tmdb,D5,zephyr-tf-p2,719.51,85.20,63.00,72.44,0.77,join_examples_dict_1,1453,TopKJoin
imdb,tmdb,D5,zephyr-tf-p2,719.51,84.78,63.51,72.62,0.77,join_examples_dict_1,1472,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2,2185.62,86.45,93.54,89.86,1.00,join_examples_dict_2,2126,TopKJoin
imdb,tmdb,D5,gemma3n-ft-p2,2185.62,85.49,91.15,88.23,1.00,join_examples_dict_2,2095,distilroberta
imdb,tmdb,D5,gemma3n-tf-p2,2152.63,86.41,93.54,89.83,1.00,join_examples_dict_2,2127,TopKJoin
imdb,tmdb,D5,gemma3n-tf-p2,2152.58,85.40,91.09,88.16,1.00,join_examples_dict_2,2096,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2,955.88,86.84,93.69,90.13,1.00,join_examples_dict_2,2120,TopKJoin
imdb,tmdb,D5,qwen2.5-ft-p2,955.88,85.69,91.40,88.45,1.00,join_examples_dict_2,2096,distilroberta
imdb,tmdb,D5,qwen2.5-tf-p2,949.36,86.15,93.69,89.76,1.00,join_examples_dict_2,2137,TopKJoin
imdb,tmdb,D5,qwen2.5-tf-p2,949.20,85.03,91.35,88.08,1.00,join_examples_dict_2,2111,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2,1100.81,84.04,80.66,82.32,1.00,join_examples_dict_2,1886,TopKJoin
imdb,tmdb,D5,llama3.1-ft-p2,1100.81,83.56,78.88,81.15,1.00,join_examples_dict_2,1855,distilroberta
imdb,tmdb,D5,llama3.1-tf-p2,1092.28,80.75,89.67,84.98,1.00,join_examples_dict_2,2182,TopKJoin
imdb,tmdb,D5,llama3.1-tf-p2,1092.44,79.47,87.84,83.44,1.00,join_examples_dict_2,2172,distilroberta
imdb,tmdb,D5,orca2-ft-p2,554.09,80.06,90.94,85.16,1.00,join_examples_dict_2,2232,TopKJoin
imdb,tmdb,D5,orca2-ft-p2,554.10,75.57,88.96,81.72,1.00,join_examples_dict_2,2313,distilroberta
imdb,tmdb,D5,orca2-tf-p2,547.38,77.95,90.48,83.75,1.00,join_examples_dict_2,2281,TopKJoin
imdb,tmdb,D5,orca2-tf-p2,547.39,72.91,88.35,79.89,1.00,join_examples_dict_2,2381,distilroberta
imdb,tmdb,D5,openhermes-ft-p2,555.75,84.64,79.90,82.20,1.00,join_examples_dict_2,1855,TopKJoin
imdb,tmdb,D5,openhermes-ft-p2,555.75,83.49,78.73,81.04,1.00,join_examples_dict_2,1853,distilroberta
imdb,tmdb,D5,openhermes-tf-p2,551.81,84.52,79.49,81.93,1.00,join_examples_dict_2,1848,TopKJoin
imdb,tmdb,D5,openhermes-tf-p2,551.81,83.54,78.52,80.95,1.00,join_examples_dict_2,1847,distilroberta
imdb,tmdb,D5,zephyr-ft-p2,807.02,86.35,70.84,77.83,0.61,join_examples_dict_2,1612,TopKJoin
imdb,tmdb,D5,zephyr-ft-p2,807.01,85.71,70.18,77.17,0.61,join_examples_dict_2,1609,distilroberta
imdb,tmdb,D5,zephyr-tf-p2,675.96,87.73,88.40,88.06,0.91,join_examples_dict_2,1980,TopKJoin
imdb,tmdb,D5,zephyr-tf-p2,675.78,87.00,86.51,86.76,0.91,join_examples_dict_2,1954,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,4278.42,86.00,93.44,89.56,1.00,vector_based_examples_dict_1,2135,TopKJoin
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,4278.43,84.70,90.99,87.73,1.00,vector_based_examples_dict_1,2111,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,4278.42,87.18,92.42,89.72,1.00,vector_based_examples_dict_1,2083,TopKJoin
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,4278.42,86.43,90.13,88.24,1.00,vector_based_examples_dict_1,2049,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,4305.90,85.00,93.69,89.13,1.00,vector_based_examples_dict_2,2166,TopKJoin
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,4305.90,83.32,91.25,87.10,1.00,vector_based_examples_dict_2,2152,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,4305.90,85.57,93.54,89.38,1.00,vector_based_examples_dict_2,2148,TopKJoin
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,4305.89,84.00,91.09,87.40,1.00,vector_based_examples_dict_2,2131,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,4320.46,86.34,93.59,89.82,1.00,join_examples_dict_1,2130,TopKJoin
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,4320.63,85.33,91.15,88.14,1.00,join_examples_dict_1,2099,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,4320.46,86.95,89.21,88.07,1.00,join_examples_dict_1,2016,TopKJoin
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,4320.46,86.12,87.48,86.80,1.00,join_examples_dict_1,1996,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,4338.13,86.26,93.59,89.77,1.00,join_examples_dict_2,2132,TopKJoin
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,4338.12,85.25,91.15,88.10,1.00,join_examples_dict_2,2101,distilroberta
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,4338.28,86.61,93.49,89.92,1.00,join_examples_dict_2,2121,TopKJoin
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,4338.12,85.65,91.09,88.29,1.00,join_examples_dict_2,2090,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1892.76,85.60,93.49,89.37,1.00,vector_based_examples_dict_1,2146,TopKJoin
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1892.75,84.48,91.15,87.69,1.00,vector_based_examples_dict_1,2120,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1892.75,85.93,93.23,89.43,1.00,vector_based_examples_dict_1,2132,TopKJoin
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1892.75,85.01,90.89,87.85,1.00,vector_based_examples_dict_1,2101,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1884.70,85.98,93.64,89.65,1.00,vector_based_examples_dict_2,2140,TopKJoin
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1884.47,84.87,91.35,87.99,1.00,vector_based_examples_dict_2,2115,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1884.47,86.48,93.44,89.82,1.00,vector_based_examples_dict_2,2123,TopKJoin
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1884.47,85.56,91.09,88.24,1.00,vector_based_examples_dict_2,2092,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1900.70,86.22,93.59,89.75,1.00,join_examples_dict_1,2133,TopKJoin
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1901.00,85.05,91.20,88.02,1.00,join_examples_dict_1,2107,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1900.71,86.66,93.54,89.97,1.00,join_examples_dict_1,2121,TopKJoin
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1900.71,85.65,91.15,88.31,1.00,join_examples_dict_1,2091,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1905.02,86.15,93.69,89.76,1.00,join_examples_dict_2,2137,TopKJoin
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,1905.03,84.95,91.35,88.03,1.00,join_examples_dict_2,2113,distilroberta
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1905.18,86.84,93.69,90.13,1.00,join_examples_dict_2,2120,TopKJoin
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1905.00,85.77,91.40,88.49,1.00,join_examples_dict_2,2094,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,2183.42,76.63,92.26,83.72,1.00,vector_based_examples_dict_1,2366,TopKJoin
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,2183.43,72.49,89.97,80.29,1.00,vector_based_examples_dict_1,2439,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,2183.40,82.53,84.17,83.35,1.00,vector_based_examples_dict_1,2004,TopKJoin
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,2183.57,80.33,82.29,81.30,1.00,vector_based_examples_dict_1,2013,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,2184.93,77.82,93.18,84.81,1.00,vector_based_examples_dict_2,2353,TopKJoin
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,2184.93,74.93,90.94,82.16,1.00,vector_based_examples_dict_2,2385,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,2184.91,83.38,83.21,83.29,1.00,vector_based_examples_dict_2,1961,TopKJoin
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,2184.91,82.43,81.68,82.06,1.00,vector_based_examples_dict_2,1947,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,2184.57,75.90,92.01,83.18,1.00,join_examples_dict_1,2382,TopKJoin
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,2184.57,71.35,89.72,79.49,1.00,join_examples_dict_1,2471,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,2184.54,78.81,73.08,75.84,1.00,join_examples_dict_1,1822,TopKJoin
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,2184.54,75.86,71.96,73.86,1.00,join_examples_dict_1,1864,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,2193.19,80.81,91.50,85.82,1.00,join_examples_dict_2,2225,TopKJoin
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,2193.03,79.47,89.41,84.15,1.00,join_examples_dict_2,2211,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,2193.01,84.31,78.73,81.42,1.00,join_examples_dict_2,1835,TopKJoin
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,2193.00,83.77,77.20,80.35,1.00,join_examples_dict_2,1811,distilroberta
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,1099.25,84.28,92.52,88.21,1.00,vector_based_examples_dict_1,2157,TopKJoin
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,1099.41,82.05,90.23,85.94,1.00,vector_based_examples_dict_1,2161,distilroberta
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,1099.24,86.32,86.36,86.34,1.00,vector_based_examples_dict_1,1966,TopKJoin
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,1099.24,85.20,84.94,85.07,1.00,vector_based_examples_dict_1,1959,distilroberta
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,1103.97,78.20,93.08,84.99,1.00,vector_based_examples_dict_2,2339,TopKJoin
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,1103.97,72.64,90.79,80.71,1.00,vector_based_examples_dict_2,2456,distilroberta
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,1103.96,81.61,89.67,85.45,1.00,vector_based_examples_dict_2,2159,TopKJoin
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,1103.96,77.69,87.74,82.41,1.00,vector_based_examples_dict_2,2219,distilroberta
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,1098.20,77.09,92.11,83.93,1.00,join_examples_dict_1,2348,TopKJoin
