dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
tmdb,tvdb,D7,llama3.1-z-p1,562.916558265686,48.12182741116751,91.59420289855072,63.09484193011647,0.992128801431127,vector_based_examples_dict_1,1970,distilroberta
tmdb,tvdb,D7,llama3.1-z-p2,553.5004012584686,45.60152163575844,92.65700483091788,61.12173358827279,0.9980322003577816,vector_based_examples_dict_1,2103,TopKJoin
tmdb,tvdb,D7,llama3.1-z-p2,553.4999494552612,46.15761135584924,91.11111111111111,61.2735542560104,0.9980322003577816,vector_based_examples_dict_1,2043,distilroberta
tmdb,tvdb,D7,llama3.1-ft-p1,597.9043388366699,48.685857321652065,75.16908212560386,59.09608811241929,0.9738819320214668,vector_based_examples_dict_1,1598,TopKJoin
tmdb,tvdb,D7,llama3.1-ft-p1,597.9043326377869,49.35233160621762,73.62318840579711,59.09267157813106,0.9738819320214668,vector_based_examples_dict_1,1544,distilroberta
tmdb,tvdb,D7,llama3.1-ft-p2,575.3342316150665,44.78305785123967,83.76811594202898,58.36418714237631,0.9923076923076924,vector_based_examples_dict_1,1936,TopKJoin
tmdb,tvdb,D7,llama3.1-ft-p2,575.333304643631,45.169851380042466,82.22222222222221,58.307639602603636,0.9923076923076924,vector_based_examples_dict_1,1884,distilroberta
tmdb,tvdb,D7,llama3.1-tf-p1,575.8294847011566,46.65024630541872,91.4975845410628,61.794453507340954,0.9944543828264758,vector_based_examples_dict_1,2030,TopKJoin
tmdb,tvdb,D7,llama3.1-tf-p1,575.8300859928131,46.77744209466263,89.7584541062802,61.50281363786826,0.9944543828264758,vector_based_examples_dict_1,1986,distilroberta
tmdb,tvdb,D7,llama3.1-tf-p2,569.9653289318085,46.07890891378471,91.40096618357488,61.269430051813465,0.998747763864043,vector_based_examples_dict_1,2053,TopKJoin
tmdb,tvdb,D7,llama3.1-tf-p2,569.964216709137,46.36955433149725,89.46859903381642,61.08179419525066,0.998747763864043,vector_based_examples_dict_1,1997,distilroberta
tmdb,tvdb,D7,orca2-z-p1,426.3295478820801,52.30596175478065,89.85507246376811,66.1215783860647,0.9828264758497316,vector_based_examples_dict_1,1778,TopKJoin
tmdb,tvdb,D7,orca2-z-p1,426.32884788513184,52.682648401826484,89.17874396135265,66.23609616074633,0.9828264758497316,vector_based_examples_dict_1,1752,distilroberta
tmdb,tvdb,D7,orca2-z-p2,410.36197733879084,54.50867052023122,91.11111111111111,68.20976491862568,0.9915921288014312,vector_based_examples_dict_1,1730,TopKJoin
tmdb,tvdb,D7,orca2-z-p2,410.3613374233245,54.81611208406305,90.72463768115942,68.3406113537118,0.9915921288014312,vector_based_examples_dict_1,1713,distilroberta
tmdb,tvdb,D7,orca2-ft-p1,443.9323184490204,55.661066471877284,73.62318840579711,63.394342762063225,0.9892665474060824,vector_based_examples_dict_1,1369,TopKJoin
tmdb,tvdb,D7,orca2-ft-p1,443.931667804718,57.43707093821511,72.7536231884058,64.19437340153452,0.9892665474060824,vector_based_examples_dict_1,1311,distilroberta
tmdb,tvdb,D7,orca2-ft-p2,432.6123402118683,54.030769230769224,84.83091787439614,66.01503759398496,0.995169946332737,vector_based_examples_dict_1,1625,TopKJoin
tmdb,tvdb,D7,orca2-ft-p2,432.61225271224976,55.25812619502868,83.76811594202898,66.58986175115207,0.995169946332737,vector_based_examples_dict_1,1569,distilroberta
tmdb,tvdb,D7,orca2-tf-p1,427.91084027290344,58.81207400194742,58.35748792270531,58.5838991270611,0.9998211091234348,vector_based_examples_dict_1,1027,TopKJoin
tmdb,tvdb,D7,orca2-tf-p1,427.9569206237793,60.099999999999994,58.067632850241544,59.06633906633907,0.9998211091234348,vector_based_examples_dict_1,1000,distilroberta
tmdb,tvdb,D7,orca2-tf-p2,426.3320665359497,54.00788436268068,79.42028985507247,64.29409464215878,0.9996422182468694,vector_based_examples_dict_1,1522,TopKJoin
tmdb,tvdb,D7,orca2-tf-p2,426.3311548233032,55.15603799185889,78.55072463768116,64.8066958947788,0.9996422182468694,vector_based_examples_dict_1,1474,distilroberta
tmdb,tvdb,D7,openhermes-z-p1,415.63017225265503,48.93832153690597,93.52657004830918,64.25489545303684,1.0,vector_based_examples_dict_1,1978,TopKJoin
tmdb,tvdb,D7,openhermes-z-p1,415.63021445274353,49.04982023626091,92.27053140096618,64.05097250167672,1.0,vector_based_examples_dict_1,1947,distilroberta
tmdb,tvdb,D7,openhermes-z-p2,410.6358423233032,47.515986227250366,93.33333333333333,62.97262059973924,0.9998211091234348,vector_based_examples_dict_1,2033,TopKJoin
tmdb,tvdb,D7,openhermes-z-p2,410.6358244419098,47.87180771156735,92.3671497584541,63.06068601583114,0.9998211091234348,vector_based_examples_dict_1,1997,distilroberta
tmdb,tvdb,D7,openhermes-ft-p1,432.8332350254059,51.568314726209465,93.71980676328504,66.52949245541838,1.0,vector_based_examples_dict_1,1881,TopKJoin
tmdb,tvdb,D7,openhermes-ft-p1,432.83274698257446,51.673866090712735,92.46376811594203,66.29719431936266,1.0,vector_based_examples_dict_1,1852,distilroberta
tmdb,tvdb,D7,openhermes-ft-p2,433.71992278099054,50.95642933049946,92.65700483091788,65.75248543023655,1.0,vector_based_examples_dict_1,1882,TopKJoin
tmdb,tvdb,D7,openhermes-ft-p2,433.71969437599176,51.302931596091206,91.30434782608695,65.69343065693431,1.0,vector_based_examples_dict_1,1842,distilroberta
tmdb,tvdb,D7,openhermes-tf-p1,433.98936200141907,50.10214504596527,94.78260869565217,65.55295689943202,1.0,vector_based_examples_dict_1,1958,TopKJoin
tmdb,tvdb,D7,openhermes-tf-p1,433.9896721839905,50.077922077922075,93.14009661835749,65.13513513513513,1.0,vector_based_examples_dict_1,1925,distilroberta
tmdb,tvdb,D7,openhermes-tf-p2,432.25708389282227,49.745158002038735,94.29951690821255,65.1317984651318,1.0,vector_based_examples_dict_1,1962,TopKJoin
tmdb,tvdb,D7,openhermes-tf-p2,432.2560353279114,50.44619422572178,92.85024154589372,65.37414965986395,1.0,vector_based_examples_dict_1,1905,distilroberta
tmdb,tvdb,D7,zephyr-z-p1,508.26577258110046,50.90063916327716,84.63768115942028,63.570391872278655,0.9404293381037568,vector_based_examples_dict_1,1721,TopKJoin
tmdb,tvdb,D7,zephyr-z-p1,508.217488527298,52.28915662650603,83.86473429951691,64.41558441558442,0.9404293381037568,vector_based_examples_dict_1,1660,distilroberta
tmdb,tvdb,D7,zephyr-z-p2,517.9838933944702,54.6772068511199,80.19323671497585,65.02154328241285,0.9203935599284436,vector_based_examples_dict_1,1518,TopKJoin
tmdb,tvdb,D7,zephyr-z-p2,517.9833827018738,55.25083612040134,79.80676328502415,65.29644268774703,0.9203935599284436,vector_based_examples_dict_1,1495,distilroberta
tmdb,tvdb,D7,zephyr-ft-p1,724.7289564609528,52.88035450516987,69.17874396135267,59.94139807450816,0.7656529516994633,vector_based_examples_dict_1,1354,TopKJoin
tmdb,tvdb,D7,zephyr-ft-p1,724.729035615921,54.17933130699089,68.88888888888889,60.65504040833688,0.7656529516994633,vector_based_examples_dict_1,1316,distilroberta
tmdb,tvdb,D7,zephyr-ft-p2,842.8922848701477,47.50692520775623,33.14009661835749,39.04382470119522,0.5915921288014311,vector_based_examples_dict_1,722,TopKJoin
tmdb,tvdb,D7,zephyr-ft-p2,842.8920221328735,48.24191279887483,33.14009661835749,39.289805269186715,0.5915921288014311,vector_based_examples_dict_1,711,distilroberta
tmdb,tvdb,D7,zephyr-tf-p1,786.2728171348572,53.53159851301115,27.82608695652174,36.61792752701844,0.5960644007155635,vector_based_examples_dict_1,538,TopKJoin
tmdb,tvdb,D7,zephyr-tf-p1,786.2727017402649,53.672316384180796,27.536231884057973,36.39846743295019,0.5960644007155635,vector_based_examples_dict_1,531,distilroberta
tmdb,tvdb,D7,zephyr-tf-p2,850.9447734355927,47.24409448818898,17.391304347826086,25.423728813559325,0.5377459749552773,vector_based_examples_dict_1,381,TopKJoin
tmdb,tvdb,D7,zephyr-tf-p2,850.8963570594788,47.10526315789474,17.294685990338166,25.300353356890458,0.5377459749552773,vector_based_examples_dict_1,380,distilroberta
tmdb,tvdb,D7,gemma3n-ft-p1,1397.6641285419464,50.382068262862965,95.55555555555556,65.97731821214143,1.0,vector_based_examples_dict_2,1963,TopKJoin
tmdb,tvdb,D7,gemma3n-ft-p1,1397.662883758545,51.188589540412046,93.6231884057971,66.18852459016394,1.0,vector_based_examples_dict_2,1893,distilroberta
tmdb,tvdb,D7,gemma3n-ft-p2,1313.2157974243164,51.324675324675326,95.45893719806763,66.75675675675676,1.0,vector_based_examples_dict_2,1925,TopKJoin
tmdb,tvdb,D7,gemma3n-ft-p2,1313.2150967121124,51.51838039424613,93.42995169082126,66.41483516483517,1.0,vector_based_examples_dict_2,1877,distilroberta
tmdb,tvdb,D7,gemma3n-tf-p1,1395.075894832611,52.58942872397224,95.16908212560386,67.74415405777167,1.0,vector_based_examples_dict_2,1873,TopKJoin
tmdb,tvdb,D7,gemma3n-tf-p1,1395.0266406536102,52.7292576419214,93.33333333333333,67.38751307987444,1.0,vector_based_examples_dict_2,1832,distilroberta
tmdb,tvdb,D7,gemma3n-tf-p2,1313.3936121463776,52.27272727272727,95.55555555555556,67.57772463272977,1.0,vector_based_examples_dict_2,1892,TopKJoin
tmdb,tvdb,D7,gemma3n-tf-p2,1313.3925800323486,52.124798278644434,93.6231884057971,66.96613683483068,1.0,vector_based_examples_dict_2,1859,distilroberta
tmdb,tvdb,D7,qwen2.5-ft-p1,543.2844548225403,54.129955947136565,94.97584541062803,68.95826025955805,1.0,vector_based_examples_dict_2,1816,TopKJoin
tmdb,tvdb,D7,qwen2.5-ft-p1,543.3319764137268,53.46644481419855,93.14009661835749,67.93516560958422,1.0,vector_based_examples_dict_2,1803,distilroberta
tmdb,tvdb,D7,qwen2.5-ft-p2,540.8816413879395,54.36946902654868,94.97584541062803,69.15230390432642,1.0,vector_based_examples_dict_2,1808,TopKJoin
tmdb,tvdb,D7,qwen2.5-ft-p2,540.8819408416748,53.734671125975474,93.14009661835749,68.15129020855426,1.0,vector_based_examples_dict_2,1794,distilroberta
tmdb,tvdb,D7,qwen2.5-tf-p1,543.2260200977325,53.98132894014278,94.97584541062803,68.83753501400561,1.0,vector_based_examples_dict_2,1821,TopKJoin
tmdb,tvdb,D7,qwen2.5-tf-p1,543.2260529994965,53.37763012181617,93.14009661835749,67.86342837029216,1.0,vector_based_examples_dict_2,1806,distilroberta
tmdb,tvdb,D7,qwen2.5-tf-p2,540.5298602581024,54.39955727725512,94.97584541062803,69.17663617171006,1.0,vector_based_examples_dict_2,1807,TopKJoin
tmdb,tvdb,D7,qwen2.5-tf-p2,540.4810419082642,53.64496382860323,93.14009661835749,68.07909604519776,1.0,vector_based_examples_dict_2,1797,distilroberta
tmdb,tvdb,D7,llama3.1-ft-p1,561.0153479576111,47.42574257425743,92.56038647342996,62.71685761047464,1.0,vector_based_examples_dict_2,2020,TopKJoin
tmdb,tvdb,D7,llama3.1-ft-p1,561.0148386955261,47.583081570996974,91.30434782608695,62.56206554121152,1.0,vector_based_examples_dict_2,1986,distilroberta
tmdb,tvdb,D7,llama3.1-ft-p2,556.5335931777954,45.30075187969925,93.14009661835749,60.954789756560224,0.9983899821109125,vector_based_examples_dict_2,2128,TopKJoin
tmdb,tvdb,D7,llama3.1-ft-p2,556.5329892635345,45.46762589928058,91.59420289855072,60.76923076923077,0.9983899821109125,vector_based_examples_dict_2,2085,distilroberta
tmdb,tvdb,D7,llama3.1-tf-p1,560.0183985233307,43.91226499552373,94.78260869565217,60.018354236769646,0.9991055456171736,vector_based_examples_dict_2,2234,TopKJoin
tmdb,tvdb,D7,llama3.1-tf-p1,560.0174458026886,44.23518603582912,93.04347826086956,59.9626400996264,0.9991055456171736,vector_based_examples_dict_2,2177,distilroberta
tmdb,tvdb,D7,llama3.1-tf-p2,558.9851191043854,42.7765726681128,95.26570048309179,59.04191616766467,0.9991055456171736,vector_based_examples_dict_2,2305,TopKJoin
tmdb,tvdb,D7,llama3.1-tf-p2,558.9370403289795,43.18892362661902,93.42995169082126,59.07147220525351,0.9991055456171736,vector_based_examples_dict_2,2239,distilroberta
tmdb,tvdb,D7,orca2-ft-p1,417.7817220687867,50.5863539445629,91.69082125603865,65.2009618687736,1.0,vector_based_examples_dict_2,1876,TopKJoin
tmdb,tvdb,D7,orca2-ft-p1,417.7807290554047,51.49501661129568,89.85507246376811,65.46990496304119,1.0,vector_based_examples_dict_2,1806,distilroberta
tmdb,tvdb,D7,orca2-ft-p2,413.35878252983093,53.37423312883436,92.46376811594203,67.68033946251768,0.9998211091234348,vector_based_examples_dict_2,1793,TopKJoin
tmdb,tvdb,D7,orca2-ft-p2,413.35737228393555,54.16906267970097,91.01449275362319,67.91636625811103,0.9998211091234348,vector_based_examples_dict_2,1739,distilroberta
tmdb,tvdb,D7,orca2-tf-p1,415.59613275527954,48.7527114967462,86.85990338164251,62.45224036123654,0.9996422182468694,vector_based_examples_dict_2,1844,TopKJoin
tmdb,tvdb,D7,orca2-tf-p1,415.59510922431946,50.0,85.5072463768116,63.101604278074866,0.9996422182468694,vector_based_examples_dict_2,1770,distilroberta
tmdb,tvdb,D7,orca2-tf-p2,412.1268689632416,53.279164248403944,88.69565217391305,66.56997824510515,1.0,vector_based_examples_dict_2,1723,TopKJoin
tmdb,tvdb,D7,orca2-tf-p2,412.17456316947937,54.903147699757874,87.6328502415459,67.51023446222553,1.0,vector_based_examples_dict_2,1652,distilroberta
