dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
walmart,amazon,D8,gemma3n-z-p1,1370.8278772830963,41.5497254423429,79.8358733880422,54.65489566613163,1.0,vector_based_examples_dict_1,1639,TopKJoin
walmart,amazon,D8,gemma3n-z-p1,1370.832823753357,36.03805260212647,75.49824150058618,48.78787878787879,1.0,vector_based_examples_dict_1,1787,distilroberta
walmart,amazon,D8,gemma3n-z-p2,1305.9104046821594,39.421965317919074,79.95310668229777,52.806813782423546,1.0,vector_based_examples_dict_1,1730,TopKJoin
walmart,amazon,D8,gemma3n-z-p2,1305.9144394397736,33.457051961823964,73.97420867526378,46.075209930631615,1.0,vector_based_examples_dict_1,1886,distilroberta
walmart,amazon,D8,gemma3n-ft-p1,1848.3851737976072,42.09547427154371,79.60140679953108,55.06893755068938,1.0,vector_based_examples_dict_1,1613,TopKJoin
walmart,amazon,D8,gemma3n-ft-p1,1848.3897318840025,36.53955606146842,75.26377491207504,49.195402298850574,1.0,vector_based_examples_dict_1,1757,distilroberta
walmart,amazon,D8,gemma3n-ft-p2,1667.496665239334,42.69662921348314,80.18757327080891,55.72301425661914,1.0,vector_based_examples_dict_1,1602,TopKJoin
walmart,amazon,D8,gemma3n-ft-p2,1667.5025448799133,36.70454545454545,75.7327080890973,49.44508228090318,1.0,vector_based_examples_dict_1,1760,distilroberta
walmart,amazon,D8,gemma3n-tf-p1,1760.0715548992157,50.29940119760479,78.78077373974209,61.39789858382822,1.0,vector_based_examples_dict_1,1336,TopKJoin
walmart,amazon,D8,gemma3n-tf-p1,1760.0216999053955,44.70108695652174,77.13950762016412,56.60215053763441,1.0,vector_based_examples_dict_1,1472,distilroberta
walmart,amazon,D8,gemma3n-tf-p2,1666.3521752357483,46.86854783207158,79.8358733880422,59.0633130962706,1.0,vector_based_examples_dict_1,1453,TopKJoin
walmart,amazon,D8,gemma3n-tf-p2,1666.3562438488007,40.81885856079405,77.13950762016412,53.387423935091284,1.0,vector_based_examples_dict_1,1612,distilroberta
walmart,amazon,D8,qwen2.5-z-p1,671.6577661037445,60.1010101010101,69.75381008206331,64.56863809007054,1.0,vector_based_examples_dict_1,990,TopKJoin
walmart,amazon,D8,qwen2.5-z-p1,671.6592378616333,56.66041275797373,70.80890973036342,62.94945284002085,1.0,vector_based_examples_dict_1,1066,distilroberta
walmart,amazon,D8,qwen2.5-z-p2,672.9889807701111,57.67097966728281,73.1535756154748,64.49612403100775,1.0,vector_based_examples_dict_1,1082,TopKJoin
walmart,amazon,D8,qwen2.5-z-p2,672.990471124649,53.24786324786325,73.03634232121922,61.591695501730094,1.0,vector_based_examples_dict_1,1170,distilroberta
walmart,amazon,D8,qwen2.5-ft-p1,683.9255023002625,67.19706242350061,64.36107854630716,65.74850299401197,1.0,vector_based_examples_dict_1,817,TopKJoin
walmart,amazon,D8,qwen2.5-ft-p1,683.9263989925385,64.12300683371298,66.00234466588512,65.04910456383594,1.0,vector_based_examples_dict_1,878,distilroberta
walmart,amazon,D8,qwen2.5-ft-p2,686.7626457214355,64.48275862068965,65.76787807737398,65.11897852582705,1.0,vector_based_examples_dict_1,870,TopKJoin
walmart,amazon,D8,qwen2.5-ft-p2,686.7634093761444,61.72707889125799,67.87807737397421,64.65661641541038,1.0,vector_based_examples_dict_1,938,distilroberta
