dataset_1,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
cora,cora,llama3.1-tf-p2,3083.72,76.44,95.17,84.78,1.00,join_examples_dict_2,19427,99.97
cora,cora,orca2-ft-p2,1398.12,83.56,76.52,79.88,0.99,join_examples_dict_2,14288,99.94
cora,cora,orca2-tf-p2,1416.37,81.82,83.32,82.56,0.98,join_examples_dict_2,15889,99.96
cora,cora,openhermes-ft-p2,1412.82,88.30,85.23,86.74,1.00,join_examples_dict_2,15062,99.95
cora,cora,openhermes-tf-p2,1411.31,89.42,82.79,85.97,1.00,join_examples_dict_2,14446,99.97
cora,cora,zephyr-ft-p2,2765.51,95.28,73.66,83.09,0.04,join_examples_dict_2,12062,99.88
cora,cora,zephyr-tf-p2,2203.87,95.62,66.63,78.54,0.24,join_examples_dict_2,10873,99.89
cora,cora,gemma3n-ft-p2 U gemma3n-tf-p2,20445.79,90.90,90.11,90.50,1.00,vector_based_examples_dict_1,15468,99.97
cora,cora,gemma3n-ft-p2 ∩ gemma3n-tf-p2,20445.79,95.90,74.22,83.68,1.00,vector_based_examples_dict_1,12075,99.83
cora,cora,gemma3n-ft-p2 U gemma3n-tf-p2,13333.47,82.74,96.26,88.99,1.00,vector_based_examples_dict_2,18152,99.97
cora,cora,gemma3n-ft-p2 ∩ gemma3n-tf-p2,13333.47,87.60,91.19,89.36,1.00,vector_based_examples_dict_2,16244,99.96
cora,cora,gemma3n-ft-p2 U gemma3n-tf-p2,13294.20,78.68,98.38,87.44,1.00,join_examples_dict_1,19511,99.97
cora,cora,gemma3n-ft-p2 ∩ gemma3n-tf-p2,13294.20,86.46,90.01,88.20,1.00,join_examples_dict_1,16245,99.96
cora,cora,gemma3n-ft-p2 U gemma3n-tf-p2,13388.96,80.51,97.03,88.00,1.00,join_examples_dict_2,18804,99.97
cora,cora,gemma3n-ft-p2 ∩ gemma3n-tf-p2,13388.96,84.94,92.50,88.56,1.00,join_examples_dict_2,16992,99.96
cora,cora,qwen2.5-ft-p2 U qwen2.5-tf-p2,5533.66,95.42,82.71,88.61,1.00,vector_based_examples_dict_1,13526,99.90
cora,cora,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,5533.66,97.14,74.98,84.63,1.00,vector_based_examples_dict_1,12043,99.90
cora,cora,qwen2.5-ft-p2 U qwen2.5-tf-p2,5530.85,94.05,83.74,88.60,1.00,vector_based_examples_dict_2,13892,99.94
cora,cora,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,5530.85,96.55,74.04,83.81,1.00,vector_based_examples_dict_2,11966,99.92
cora,cora,qwen2.5-ft-p2 U qwen2.5-tf-p2,5544.29,92.06,86.54,89.22,1.00,join_examples_dict_1,14667,99.94
cora,cora,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,5544.29,94.81,79.13,86.26,1.00,join_examples_dict_1,13022,99.90
cora,cora,qwen2.5-ft-p2 U qwen2.5-tf-p2,5509.23,94.59,85.13,89.61,1.00,join_examples_dict_2,14042,99.94
cora,cora,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,5509.23,95.97,79.47,86.94,1.00,join_examples_dict_2,12921,99.93
cora,cora,llama3.1-ft-p2 U llama3.1-tf-p2,6195.71,76.34,97.69,85.71,0.97,vector_based_examples_dict_1,19965,99.98
cora,cora,llama3.1-ft-p2 ∩ llama3.1-tf-p2,6195.71,81.02,72.83,76.70,0.97,vector_based_examples_dict_1,14025,99.96
cora,cora,llama3.1-ft-p2 U llama3.1-tf-p2,6176.79,76.34,96.99,85.43,0.96,vector_based_examples_dict_2,19824,99.97
